Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
140.000000	0.000467696	140.000000	0.000575675	140.000000	0.000574798	140.000000	0.000574421	140.000000	0.000575437	140.000000	2.38003e-07	
145.000000	0.000456123	145.000000	0.000561775	145.000000	0.000560897	145.000000	0.000560486	145.000000	0.000561545	145.000000	2.30426e-07	
150.000000	0.000445266	150.000000	0.000548762	150.000000	0.000547839	150.000000	0.00054744	150.000000	0.000548539	150.000000	2.23333e-07	
155.000000	0.000429979	155.000000	0.000536553	155.000000	0.000535584	155.000000	0.000535199	155.000000	0.000536336	155.000000	2.16679e-07	
160.000000	0.000421019	160.000000	0.000525074	160.000000	0.000524069	160.000000	0.000523693	160.000000	0.000524863	160.000000	2.10424e-07	
165.000000	0.000412569	165.000000	0.000514262	165.000000	0.000513223	165.000000	0.000512855	165.000000	0.000514058	165.000000	2.04533e-07	
170.000000	0.000404587	170.000000	0.000504061	170.000000	0.00050299	170.000000	0.000502631	170.000000	0.000503862	170.000000	1.98974e-07	
175.000000	0.000397035	175.000000	0.000494419	175.000000	0.000493319	175.000000	0.000492968	175.000000	0.000494226	175.000000	1.9372e-07	
180.000000	0.000389877	180.000000	0.000485293	180.000000	0.000484167	180.000000	0.000483823	180.000000	0.000485104	180.000000	1.88746e-07	
185.000000	0.000383084	185.000000	0.000476641	185.000000	0.000475492	185.000000	0.000475156	185.000000	0.000476457	185.000000	1.8403e-07	
190.000000	0.000376628	190.000000	0.000468427	190.000000	0.00046726	190.000000	0.000466929	190.000000	0.000468248	190.000000	1.79553e-07	
195.000000	0.000370485	195.000000	0.00046062	195.000000	0.00045943	195.000000	0.00045911	195.000000	0.000460444	195.000000	1.75295e-07	
200.000000	0.000364631	200.000000	0.000453189	200.000000	0.000451982	200.000000	0.00045167	200.000000	0.000453017	200.000000	1.71242e-07	
210.000000	0.000353714	210.000000	0.000439353	210.000000	0.00043817	210.000000	0.000437821	210.000000	0.000439189	210.000000	1.63692e-07	
220.000000	0.000343736	220.000000	0.000426734	220.000000	0.000425546	220.000000	0.000425198	220.000000	0.000426578	220.000000	1.56802e-07	
230.000000	0.000334581	230.000000	0.00041518	230.000000	0.00041398	230.000000	0.000413647	230.000000	0.00041503	230.000000	1.50487e-07	
240.000000	0.000326149	240.000000	0.000404561	240.000000	0.000403362	240.000000	0.000403037	240.000000	0.000404417	240.000000	1.44678e-07	
250.000000	0.000318358	250.000000	0.000394769	250.000000	0.000393575	250.000000	0.00039326	250.000000	0.00039463	250.000000	1.39316e-07	
260.000000	0.000311138	260.000000	0.000385712	260.000000	0.000384529	260.000000	0.000384223	260.000000	0.000385578	260.000000	1.3435e-07	
270.000000	0.000304427	270.000000	0.000377311	270.000000	0.000376145	270.000000	0.000375846	270.000000	0.000377181	270.000000	1.29738e-07	
280.000000	0.000298174	280.000000	0.000369497	280.000000	0.000368353	280.000000	0.000368061	280.000000	0.000369371	280.000000	1.25442e-07	
290.000000	0.000292333	290.000000	0.000362211	290.000000	0.00036109	290.000000	0.000360809	290.000000	0.00036209	290.000000	1.21432e-07	
300.000000	0.000286866	300.000000	0.000355404	300.000000	0.000354332	300.000000	0.000354038	300.000000	0.000355286	300.000000	1.17678e-07	
310.000000	0.000281737	310.000000	0.000349029	310.000000	0.000348017	310.000000	0.000347702	310.000000	0.000348915	310.000000	1.14157e-07	
320.000000	0.000276916	320.000000	0.000343048	320.000000	0.000342071	320.000000	0.000341763	320.000000	0.000342937	320.000000	1.10848e-07	
330.000000	0.000272377	330.000000	0.000337426	330.000000	0.000336484	330.000000	0.000336186	330.000000	0.000337318	330.000000	1.07731e-07	
340.000000	0.000268096	340.000000	0.000332132	340.000000	0.000331233	340.000000	0.000330938	340.000000	0.000332027	340.000000	1.04791e-07	
350.000000	0.000264051	350.000000	0.000327138	350.000000	0.000326283	350.000000	0.000325993	350.000000	0.000327036	350.000000	1.02013e-07	
360.000000	0.000260225	360.000000	0.000322422	360.000000	0.000321611	360.000000	0.000321327	360.000000	0.000322322	360.000000	9.93827e-08	
370.000000	0.0002566 	370.000000	0.00031796	370.000000	0.000317196	370.000000	0.000316917	370.000000	0.000317863	370.000000	9.68894e-08	
380.000000	0.000253161	380.000000	0.000313734	380.000000	0.000313019	380.000000	0.000312743	380.000000	0.000313639	380.000000	9.45223e-08	
390.000000	0.000249895	390.000000	0.000309725	390.000000	0.00030906	390.000000	0.000308788	390.000000	0.000309633	390.000000	9.22719e-08	
400.000000	0.000246788	400.000000	0.000305919	400.000000	0.000305303	400.000000	0.000305037	400.000000	0.000305828	400.000000	9.01298e-08	
410.000000	0.000243831	410.000000	0.0003023 	410.000000	0.000301736	410.000000	0.000301473	410.000000	0.000302211	410.000000	8.80882e-08	
420.000000	0.000241012	420.000000	0.000298855	420.000000	0.000298345	420.000000	0.000298084	420.000000	0.000298769	420.000000	8.61401e-08	
430.000000	0.000238323	430.000000	0.000295574	430.000000	0.000295116	430.000000	0.000294859	430.000000	0.000295489	430.000000	8.42793e-08	
440.000000	0.000235756	440.000000	0.000292444	440.000000	0.000292037	440.000000	0.000291786	440.000000	0.000292362	440.000000	8.24998e-08	
450.000000	0.000233302	450.000000	0.000289457	450.000000	0.000289104	450.000000	0.000288856	450.000000	0.000289376	450.000000	8.07964e-08	
460.000000	0.000230954	460.000000	0.000286603	460.000000	0.000286314	460.000000	0.000286059	460.000000	0.000286523	460.000000	7.91643e-08	
470.000000	0.000228707	470.000000	0.000283873	470.000000	0.000283654	470.000000	0.000283387	470.000000	0.000283796	470.000000	7.7599e-08	
480.000000	0.000226553	480.000000	0.000281261	480.000000	0.000281105	480.000000	0.000280832	480.000000	0.000281185	480.000000	7.60964e-08	
490.000000	0.000224489	490.000000	0.00027876	490.000000	0.000278659	490.000000	0.000278387	490.000000	0.000278685	490.000000	7.46529e-08	
500.000000	0.000222507	500.000000	0.000276362	500.000000	0.000276312	500.000000	0.000276046	500.000000	0.000276289	500.000000	7.3265e-08	
520.000000	0.000218778	520.000000	0.000271856	520.000000	0.000271912	520.000000	0.000271652	520.000000	0.000271785	520.000000	7.06434e-08	
540.000000	0.000215331	540.000000	0.000267699	540.000000	0.000267862	540.000000	0.000267606	540.000000	0.000267631	540.000000	6.82088e-08	
560.000000	0.000212137	560.000000	0.000263856	560.000000	0.000264123	560.000000	0.000263871	560.000000	0.00026379	560.000000	6.59417e-08	
580.000000	0.000209173	580.000000	0.000260294	580.000000	0.000260664	580.000000	0.000260417	580.000000	0.000260231	580.000000	6.38253e-08	
600.000000	0.000206416	600.000000	0.000256988	600.000000	0.000257457	600.000000	0.000257214	600.000000	0.000256926	600.000000	6.18448e-08	
620.000000	0.000203847	620.000000	0.000253911	620.000000	0.000254479	620.000000	0.000254239	620.000000	0.000253851	620.000000	5.99874e-08	
640.000000	0.000201449	640.000000	0.000251045	640.000000	0.000251708	640.000000	0.000251471	640.000000	0.000250987	640.000000	5.82419e-08	
660.000000	0.000199208	660.000000	0.000248369	660.000000	0.000249124	660.000000	0.000248891	660.000000	0.000248312	660.000000	5.65983e-08	
680.000000	0.000197111	680.000000	0.000245868	680.000000	0.000246709	680.000000	0.000246481	680.000000	0.000245813	680.000000	5.50478e-08	
700.000000	0.000195146	700.000000	0.000243527	700.000000	0.000244458	700.000000	0.000244229	700.000000	0.000243473	700.000000	5.35828e-08	
720.000000	0.000193302	720.000000	0.000241332	720.000000	0.00024236	720.000000	0.00024212	720.000000	0.00024128	720.000000	5.21962e-08	
740.000000	0.00019157	740.000000	0.000239273	740.000000	0.000240391	740.000000	0.000240143	740.000000	0.000239223	740.000000	5.08818e-08	
760.000000	0.000189942	760.000000	0.000237339	760.000000	0.000238534	760.000000	0.000238287	760.000000	0.00023729	760.000000	4.96341e-08	
780.000000	0.00018841	780.000000	0.000235521	780.000000	0.000236786	780.000000	0.000236543	780.000000	0.000235472	780.000000	4.84481e-08	
800.000000	0.000186968	800.000000	0.00023381	800.000000	0.000235142	800.000000	0.000234903	800.000000	0.000233762	800.000000	4.73192e-08	
820.000000	0.000185609	820.000000	0.000232198	820.000000	0.000233596	820.000000	0.000233359	820.000000	0.000232151	820.000000	4.62435e-08	
840.000000	0.000184327	840.000000	0.000230678	840.000000	0.000232139	840.000000	0.000231903	840.000000	0.000230633	840.000000	4.52171e-08	
860.000000	0.000183118	860.000000	0.000229245	860.000000	0.000230764	860.000000	0.00023053	860.000000	0.000229201	860.000000	4.42367e-08	
880.000000	0.000181977	880.000000	0.000227892	880.000000	0.000229466	880.000000	0.000229234	880.000000	0.000227849	880.000000	4.32993e-08	
900.000000	0.0001809 	900.000000	0.000226615	900.000000	0.000228239	900.000000	0.000228009	900.000000	0.000226572	900.000000	4.2402e-08	
920.000000	0.000179882	920.000000	0.000225408	920.000000	0.000227079	920.000000	0.000226851	920.000000	0.000225366	920.000000	4.15424e-08	
940.000000	0.00017892	940.000000	0.000224267	940.000000	0.000225982	940.000000	0.000225756	940.000000	0.000224226	940.000000	4.07181e-08	
960.000000	0.000178011	960.000000	0.000223188	960.000000	0.000224944	960.000000	0.000224719	960.000000	0.000223148	960.000000	3.99268e-08	
980.000000	0.000177152	980.000000	0.000222167	980.000000	0.00022396	980.000000	0.000223737	980.000000	0.000222128	980.000000	3.91667e-08	
1000.000000	0.000176339	1000.000000	0.000221201	1000.000000	0.000223028	1000.000000	0.000222806	1000.000000	0.000221162	1000.000000	3.8436e-08	
1020.000000	0.000175571	1020.000000	0.000220287	1020.000000	0.000222144	1020.000000	0.000221923	1020.000000	0.000220249	1020.000000	3.77328e-08	
1040.000000	0.000174845	1040.000000	0.000219421	1040.000000	0.000221305	1040.000000	0.000221085	1040.000000	0.000219384	1040.000000	3.70558e-08	
1060.000000	0.000174159	1060.000000	0.000218602	1060.000000	0.000220509	1060.000000	0.000220291	1060.000000	0.000218565	1060.000000	3.64034e-08	
1080.000000	0.00017351	1080.000000	0.000217826	1080.000000	0.000219753	1080.000000	0.000219536	1080.000000	0.00021779	1080.000000	3.57743e-08	
1100.000000	0.000172897	1100.000000	0.000217092	1100.000000	0.000219035	1100.000000	0.000218819	1100.000000	0.000217056	1100.000000	3.51672e-08	
1120.000000	0.000172318	1120.000000	0.000216396	1120.000000	0.000218353	1120.000000	0.000218138	1120.000000	0.000216362	1120.000000	3.45811e-08	
1140.000000	0.000171771	1140.000000	0.000215738	1140.000000	0.000217705	1140.000000	0.000217491	1140.000000	0.000215704	1140.000000	3.40148e-08	
1160.000000	0.000171255	1160.000000	0.000215115	1160.000000	0.000217089	1160.000000	0.000216875	1160.000000	0.000215081	1160.000000	3.34674e-08	
1180.000000	0.000170768	1180.000000	0.000214525	1180.000000	0.000216502	1180.000000	0.00021629	1180.000000	0.000214492	1180.000000	3.29378e-08	
1200.000000	0.000170309	1200.000000	0.000213967	1200.000000	0.000215945	1200.000000	0.000215734	1200.000000	0.000213935	1200.000000	3.24253e-08	
1220.000000	0.000169876	1220.000000	0.000213439	1220.000000	0.000215413	1220.000000	0.000215204	1220.000000	0.000213407	1220.000000	3.1929e-08	
1240.000000	0.000169469	1240.000000	0.00021294	1240.000000	0.000214908	1240.000000	0.0002147 	1240.000000	0.000212909	1240.000000	3.14481e-08	
1260.000000	0.000169086	1260.000000	0.000212469	1260.000000	0.000214427	1260.000000	0.000214221	1260.000000	0.000212438	1260.000000	3.0982e-08	
1280.000000	0.000168726	1280.000000	0.000212024	1280.000000	0.00021397	1280.000000	0.000213765	1280.000000	0.000211993	1280.000000	3.05299e-08	
1300.000000	0.000168389	1300.000000	0.000211604	1300.000000	0.000213536	1300.000000	0.000213331	1300.000000	0.000211573	1300.000000	3.00912e-08	
1320.000000	0.000168072	1320.000000	0.000211207	1320.000000	0.000213124	1320.000000	0.000212917	1320.000000	0.000211178	1320.000000	2.96654e-08	
1340.000000	0.000167776	1340.000000	0.000210834	1340.000000	0.000212732	1340.000000	0.000212524	1340.000000	0.000210805	1340.000000	2.92518e-08	
1360.000000	0.0001675 	1360.000000	0.000210482	1360.000000	0.000212361	1360.000000	0.00021215	1360.000000	0.000210453	1360.000000	2.885e-08 	
1380.000000	0.000167242	1380.000000	0.000210152	1380.000000	0.000212007	1380.000000	0.000211793	1380.000000	0.000210123	1380.000000	2.84594e-08	
1400.000000	0.000167003	1400.000000	0.000209841	1400.000000	0.000211671	1400.000000	0.000211454	1400.000000	0.000209813	1400.000000	2.80796e-08	
1420.000000	0.00016678	1420.000000	0.000209549	1420.000000	0.000211351	1420.000000	0.000211131	1420.000000	0.000209522	1420.000000	2.77101e-08	
1440.000000	0.000166575	1440.000000	0.000209276	1440.000000	0.000211046	1440.000000	0.000210824	1440.000000	0.000209249	1440.000000	2.73505e-08	
